"company_name","job_postings_count","avg_salary"
"Get It Recruit - Information Technology","131","86962"
"Insight Global","20","90168"
"Get It Recruit - Finance","18","91188"
"Get It Recruit - Healthcare","16","89499"
"Robert Half","12","122167"
"Patterned Learning AI","12","81667"
"Motion Recruitment","8","107813"
"Get It Recruit - Transportation","8","77813"
"CVS Health","7","91300"
"Get It Recruit - Administrative","7","65071"
"Get It Recruit - Real Estate","6","99167"
"CyberCoders","6","94167"
"Uber","5","140900"
"Edward Jones","5","122431"
"InvestM Technology LLC","5","109000"
